iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
MNP,Oceania,Northern Mariana Islands,2020-06-11,30,0,2,0,521.222,0.0,34.748,0.0,,,,,,,,,57557.0,119.878,,,,,,194.994,,,,,
NOR,Europe,Norway,2020-06-11,8576,13,239,0,1581.925,2.398,44.086,0.0,272905.0,5028.0,50.34,0.927,2599.0,0.479,people tested,,5421242.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6
OMN,Asia,Oman,2020-06-11,18887,689,84,1,3698.531,134.923,16.449,0.196,,,,,,,,,5106622.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6
PAK,Asia,Pakistan,2020-06-11,119536,5834,2356,101,541.151,26.411,10.666,0.457,780825.0,26573.0,3.535,0.12,23616.0,0.107,tests performed,,220892331.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6
PSE,Asia,Palestine,2020-06-11,665,4,5,0,130.356,0.784,0.98,0.0,,,,,,,,,5101416.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,
PAN,North America,Panama,2020-06-11,17889,656,413,10,4145.993,152.036,95.718,2.318,,,,,,,,,4314768.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3
PNG,Oceania,Papua New Guinea,2020-06-11,8,0,0,0,0.894,0.0,0.0,0.0,,,,,,,,,8947027.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,
PRY,South America,Paraguay,2020-06-11,1202,15,11,0,168.524,2.103,1.542,0.0,,,,,,,,,7132530.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3
PER,South America,Peru,2020-06-11,208823,5087,5903,165,6333.373,154.283,179.032,5.004,175752.0,,5.33,,3250.0,0.099,people tested,,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6
PHL,Asia,Philippines,2020-06-11,23732,740,1027,10,216.57,6.753,9.372,0.091,,,,,,,,,109581085.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0
